사업장명,주사육업종,사육두수,지번주소,위도(lat),경도(lon)
일진농장,한우,280,충청남도 천안시 서북구 성환읍 양령리 544-1번지,36.96019340834954,127.1709399998735
늘보목장,염소,790,충청남도 천안시 동남구 동면 장송리 157-2번지 외 1필지(158),36.78527668263298,127.380102081708
연하늘,젖소,116,충청남도 천안시 서북구 성환읍 복모리 550-2번지 외 1필지(550-3,36.959483785507565,127.11634276901883
자연목장,젖소,30,충청남도 천안시 서북구 성환읍 양령리 565-1번지,36.959720182783734,127.1623891057658
경희농장,한우,13,충청남도 천안시 동남구 성남면 대흥리 281번지,36.72809159160606,127.23388003971233
화성양돈,돼지,1700,충청남도 천안시 동남구 성남면 화성리 313-1번지,36.750082788430454,127.25663473238981
부흥목장,산양,130,"충청남도 천안시 동남구 북면 전곡리 49-3번지 외2필지(49-2, 49-4)",36.84795535314982,127.26515347146965
미리내농장,한우,35,충청남도 천안시 동남구 북면 매송리 661번지,36.805703872264765,127.26349520568945
마루농장,돼지,1400,"충청남도 천안시 동남구 동면 화계리 492번지 490-1, 490-2, 490-3",36.7695081731612,127.32819972933075
한옥농장,한우,46,충청남도 천안시 동남구 북면 은지리 304-3번지,36.78486186461461,127.2572666908851
새터농장,육계,160000,"충청남도 천안시 동남구 성남면 대흥리 6-4번지 6-6, 6-9",36.734569341129465,127.24015708155994
인창목장,젖소,160,"충청남도 천안시 동남구 성남면 용원리 535-1번지 535-2,535-3,535-4,535-5",36.75141337522197,127.20300962830373
은길축산,한우,40,충청남도 천안시 동남구 병천면 매성리 24-2번지,36.82008372142126,127.31342345602393
효원농장,한우,5,충청남도 천안시 동남구 목천읍 동리 37번지,36.7923509160306,127.2353856801292
호현목장,한우,21,충청남도 천안시 동남구 북면 납안리 267번지,36.85583237485933,127.25510104245618
지산사슴목장,사슴,11,충청남도 천안시 동남구 북면 사담리 32-3번지,36.83610230442271,127.2710156606619
갈티농장,한우,42,충청남도 천안시 동남구 병천면 관성리 773-12,36.80617120008483,127.32022428534334
복농장,육계,45000,"충청남도 천안시 동남구 성남면 신덕리 79-6번지 외 2필지(79-7, 79-8)",36.71427387779141,127.2382188905897
산사람농원(1),사슴,7,충청남도 천안시 동남구 광덕면 광덕리 748-2번지,36.666758728292386,127.0199932334297
우리목장,한우,109,충청남도 천안시 서북구 성환읍 신방리 226-66번지,36.947244646471205,127.08311616352974
우리목장,한우,5,충청남도 천안시 서북구 성환읍 신방리 226-66번지,36.947244646471205,127.08311616352974
소들농장,한우,7,충청남도 천안시 서북구 성환읍 안궁리 273-3번지,36.96241319789976,127.12910891365361
명섭농장(2),오리,4800,충청남도 천안시 동남구 병천면 관성리 613-11번지,36.819285184042684,127.31627738164906
도전농장,한우,3,충청남도 천안시 동남구 동면 행암리 400번지,36.80844740367458,127.3464527513545
금영농장,한우,13,충청남도 천안시 동남구 광덕면 광덕리 432번지,36.67065714030178,127.05066443138007
오성농장,돼지,2100,"충청남도 천안시 동남구 풍세면 용정리 116-2번지 외 3필지(116-3, 116-10, 116-13)",36.751613972201774,127.11041137431083
샘모랑농장,산양,20,충청남도 천안시 동남구 목천읍 운전리 33-6번지,36.76948529721239,127.24246750191256
대운2농장,육계,82000,"충청남도 천안시 동남구 풍세면 보성리 125번지 외 3필지(126, 127, 128)",36.73335295431717,127.12396549809527
석정사슴농원,사슴,42,충청남도 천안시 동남구 목천읍 덕전리 산 159-1번지,36.817674952002584,127.22547356306053
사슴방목장,사슴,7,"충청남도 천안시 동남구 목천읍 덕전리 434-2번지 외 3필지(434-3, 435, 436-3)",36.80775204878705,127.21313390413717
양지농장,육계,54560,"충청남도 천안시 동남구 수신면 신풍리 504번지 외 2(505, 506)",36.74402675079892,127.26241869867025
이현농장,한우,20,충청남도 천안시 서북구 성환읍 수향리 114-1번지,36.95660656218348,127.14404296174602
근성농장,한우,3,충청남도 천안시 서북구 성환읍 성환리 696번지,36.922972708987245,127.12073793158349
보람농장,한우,5,충청남도 천안시 서북구 입장면 호당리 248번지,36.89257916056854,127.2355864115524
선영농장,한우,19,충청남도 천안시 서북구 성환읍 와룡리 76-32번지,36.95612823707497,127.10325566012631
정목장,젖소,85,충청남도 천안시 동남구 성남면 봉양리 93-3번지,36.71280282798619,127.24759345874624
해성팜스,돼지,3778,충청남도 천안시 동남구 동면 구도리 24,36.7550887817947,127.3441913839972
가송농장,육계,39246,충청남도 천안시 동남구 풍세면 가송리 400-2번지,36.730927729709215,127.13518042373258
가송농장,육계,33000,충청남도 천안시 동남구 풍세면 가송리 400-2번지,36.730927729709215,127.13518042373258
해성농장,돼지,3619,충청남도 천안시 동남구 동면 구도리 48-5번지 외 1(48-4),36.75652550301194,127.34243827621668
대웅돈유전자1,돼지,1000,충청남도 천안시 동남구 성남면 신사리 221번지,36.75357342875481,127.24094849369965
